id,image_id,classified_at,food,user_id,provider_id,created_at,updated_at,uid,cooking_photo_id,taken_at,milestone,misclassified_at,moderated_at,utc_offset
3419391,554aa649cf8589ba,2016-12-08T19:11:17,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,9AE51132-27E0-4F3F-B5B8-1C0C1934C939/L0/001,307636,2016-11-09T21:17:12,0,,2016-12-12T15:53:08,0
3419392,354b1552f78d177c,2016-12-08T19:11:15,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,6E008F56-6BFA-4E65-B75B-049583D06331/L0/001,307631,2016-11-10T08:53:53,0,,2016-12-12T15:53:08,0
3419393,e85ed4f726fa7a99,2016-12-08T19:11:13,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,A7B22068-2E5B-4644-93BA-6F9C96B85C31/L0/001,307624,2016-11-10T13:51:24,0,,2016-12-12T15:53:08,0
3419394,869af6710b9e5967,2016-12-08T19:11:14,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,DE1572B5-CFF6-43E6-B39B-EDD71C53654D/L0/001,307627,2016-11-09T21:17:05,0,,2016-12-12T15:53:08,0
3419396,c55ce5888ea69ec6,2016-12-08T19:11:15,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,149E6A1F-DE47-49D0-9C3B-25358EFD1316/L0/001,307632,2016-11-10T13:51:15,0,,2016-12-12T15:53:08,0
3419397,56b2dd027ab720dc,2016-12-08T19:11:16,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,B6DDE87B-91FC-485F-80C5-DE747A073C83/L0/001,307633,2016-11-09T21:51:10,0,,2016-12-12T15:53:08,0
3419399,602ff7b72ce26208,2016-12-08T19:11:18,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,F0A99067-365B-445C-BB7F-75054AC0D5F5/L0/001,307639,2016-11-09T21:17:04,0,,2016-12-12T15:53:08,0
3419400,009e50eac2e4f17a,2016-12-08T19:11:17,1,6129125,1,2016-12-08T19:11:10,2016-12-12T15:53:08,BCD8EE38-4CF6-4B38-88EC-C17BD32C81FD/L0/001,307637,2016-11-10T08:53:53,0,,2016-12-12T15:53:08,0
3419401,84f66cdd10d61a26,2016-12-08T19:11:13,1,6129125,1,2016-12-08T19:11:10,2016-12-12T15:53:08,6986DC70-84E3-49C5-A7D8-FF23C339EA32/L0/001,307626,2016-11-09T21:17:12,0,,2016-12-12T15:53:08,0
3419402,12d486fa264ced58,2016-12-08T19:11:14,1,6129125,1,2016-12-08T19:11:10,2016-12-12T15:53:08,3FA6C467-FEAA-4A97-A15C-1819845CB1CD/L0/001,307628,2016-11-10T13:51:18,0,,2016-12-12T15:53:08,0
3419403,835dd764d42096d2,2016-12-08T19:11:17,1,6129125,1,2016-12-08T19:11:10,2016-12-12T15:53:08,6B5A4FF6-FC39-4EDA-92E2-1AC353337A3E/L0/001,307638,2016-11-10T13:51:19,0,,2016-12-12T15:53:08,0
3419405,9cc7608fb8e70358,2016-12-08T19:11:25,1,6129125,1,2016-12-08T19:11:20,2016-12-12T15:53:08,3B61EB18-6D6E-44D4-8672-BDD423FC658C/L0/001,307640,2016-11-08T20:10:39,0,,2016-12-12T15:53:08,0
3419408,461d031bba620bcc,2016-12-08T19:11:26,1,6129125,1,2016-12-08T19:11:20,2016-12-12T15:53:08,8C373A28-1FD5-448D-AB8E-DE947F179434/L0/001,307641,2016-11-08T09:16:54,0,,2016-12-12T15:53:08,0
3419409,91e5aa247098d80d,2016-12-08T19:11:27,1,6129125,1,2016-12-08T19:11:20,2016-12-12T15:53:12,AD3110F3-C46D-4E28-81AF-3D45D1AA3FD2/L0/001,307645,2016-11-08T20:10:33,0,,2016-12-12T15:53:12,0
3419410,0a60adea84d500c0,2016-12-08T19:11:26,1,6129125,1,2016-12-08T19:11:20,2016-12-12T15:53:08,E991CE4E-22EA-4995-8F97-02958BDCB010/L0/001,307642,2016-11-08T09:16:54,0,,2016-12-12T15:53:08,0
3419411,2eeedb336c75889f,2016-12-08T19:11:32,1,6129125,1,2016-12-08T19:11:20,2016-12-12T15:53:12,A001135C-A344-4BF0-82C5-241E64F99127/L0/001,307653,2016-11-08T09:17:04,0,,2016-12-12T15:53:12,0
3419412,29e1533444f74ce8,2016-12-08T19:11:27,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,CA6539D1-2A0E-4940-8CAB-ABFA26F4D220/L0/001,307643,2016-11-08T09:17:11,0,,2016-12-12T15:53:12,0
3419413,acf60e51b64fd574,2016-12-08T19:11:30,1,6129125,1,2016-12-08T19:11:21,2016-12-12T15:53:12,A12ECF67-CEEF-4484-9311-2C788900661F/L0/001,307649,2016-11-08T09:17:16,0,,2016-12-12T15:53:12,0
